dismember,1
adrift,1
refute,26
jeopardize,17
gobble[vn],31
patent[vn],66
brace,22
uplink,3
bully[vn],244
populate,8
pillage,1
change_bodily_state[vn],44
booby-trap,1
splat,1
re-energize,4
cross-couple,1
let[vn],1320
unrelent,1
showcase,1
destruct,1
organise,22
appeal[vn],20
avoid[vn],492
golf,1
apall,1
amalgamate[vn],496
biodegrade,1
remodulate,2
tenel,1
emergency-transport,1
impact,21
lobotomize,1
estimate[vn],99
ratify,2
experiment,48
betray,153
override,100
amuse[vn],14155
scuff,1
outlast,2
reorganise,1
re-pledge,1
reprint,1
restart,44
elapse,5
remerge,1
co-operate,8
cooperate[vn],567
hypo,2
aryn,1
uncloak,2
auto-operate,1
cramp,1
acquiesce[vn],210
backtrack,5
culture,1
arc,2
backfire,16
adjust[vn],261
tender,1
hole,7
scribble[vn],831
misalign,2
inebriate,1
misjudge,5
rebroadcast,1
over-tax,1
downturn,1
strenghten,1
opt-out,1
complement,7
disallow,4
cross-circuit,2
interface,10
oversee,57
secrete,8
oversleep,5
liken,16
harbour,1
holodeck,1
weasel,1
fill[vn],1907
downheart,1
entail,4
appale,1
refrain[vn],11
contribute[vn],956
mutiny,4
rety,2
mix[vn],1297
fund,8
fritz,2
put[vn],2777
fur,1
body-slam,1
yourselve,1
hermack,1
continue[vn],2222
barricade,16
endanger,34
loot,3
socialise,1
loor,1
linger[vn],365
riker,2
vow,113
interact[vn],36
rig,34
lunkhead,1
reprogram,45
coil[vn],21
price[vn],100
irradiate,5
dishonor,7
re-design,1
wierd,1
triue,1
out-bid,1
shirk,1
conflict,15
commune,2
recalibrate,5
contain[vn],328
leapfrog,1
expend,13
task,26
supersede,1
accompany[vn],604
mind-rape,1
cross-reference,1
mesmerise,4
grine,1
snark,1
recant,2
cave,15
re-download,1
invites/challenges,1
amp,1
unto,1
wage,7
re-break,1
debunk,1
court-martial,3
brutalise,1
snag,2
duct,1
hospitalise,1
emmigrate,1
brainstorm,3
pronounce[vn],34
cordon,8
vindicate,7
bid,66
advocate,8
conscript,3
displace,7
copulate,2
pollinate,1
retake,28
shapen,1
cling[vn],27
travle,1
transgress,1
google,1
embroil,3
martial,4
mirror,6
demolecularize,1
debrief,12
stop[vn],3969
become[vn],7536
lark,3
anne,4
invade,86
hyper-evolve,1
push[vn],457
meander[vn],4069
tinker,13
panhandle,1
volunteer[vn],120
discus,1
relate[vn],174
re-initialize,1
audition,1
stonewall,1
weaponise,1
stricken,5
ambush,123
re-edit,1
worf,5
recreate,37
birth[vn],194
phase,7
turn[vn],2828
holster,1
free[vn],1059
biob,1
autopsy,6
EmptyParameter,1
empathize[vn],168
overpower,156
exceed[vn],188
suit,31
fibrillate,1
overclock,1
refrigerate,1
ditch,3
airlift,1
reed,1
rush[vn],616
usurp,5
upright,2
harangue,1
consist,47
role-play,1
cartwheel,1
reye,1
freak,13
reconcile,24
single,5
vapourise,2
ablaze,2
rally,30
cotton,1
ferret[vn],5
re-ignite,1
adjudicate,1
defragg,2
retrace,3
pent,1
cheat[vn],48
upstage,1
excrete,2
disenchant,1
re-start,5
dale,1
scapegoat,1
bill[vn],860
besiege,3
depolarize,6
cater,2
structure,2
re-populate,1
skydive,1
downcast,1
orbit,45
emote,2
half-joke,2
re-animate,1
decloak,20
manner_speaking[vn],2428
pervert,1
proposition,4
g'kar,2
query,17
dress[vn],161
reinsert,1
uphold,8
entech,1
stave,5
theorise,9
breach,51
shapechange,1
revitalise,2
materialise,184
assasinate,1
spoof,1
posture,2
resequence,3
harbor,14
resurface,16
hive,3
re-form,1
talk[vn],2016
marvel[vn],4908
download,72
defend[vn],732
append,2
obey,94
substance_emission[vn],250
hurt[vn],635
put_spatial[vn],171
wireframe,1
vampire,1
access,175
relent,131
illustrate[vn],165
infuse,3
relocate,42
re-stabilize,1
hunt[vn],562
lek,2
prescribe,7
broker,3
tingle[vn],40
bode,4
simple_dressing[vn],72
reacquire,1
resurrect,19
defeat,292
reengage,1
overqualify,1
disobey,47
ensign,2
extricate,5
representation[vn],6760
egress,1
redo,2
craw,1
judgment[vn],3812
crai,1
disassemble[vn],354
result[vn],434
unplug,8
re-cover,1
rubbish,2
harvest,23
re-impregnate,1
account,26
meen,1
fraternize,4
consort,3
alia,1
challenge,151
tap-dance,1
retell,1
stabilizer,2
malform,1
process,37
manhandle,6
wish[vn],2825
atone,2
condescend,2
tal,1
synchronise,2
arriveed,1
rape,14
sir,1
fett,1
correlate[vn],5
separate[vn],145
tamper,52
sic,1
fete,1
re-adjust,1
re-tune,2
reestablish,17
opine,26
voice-activate,2
fare,8
doubled-cross,1
re-weight,1
discomfort,2
smell_emission[vn],71
regrown,1
teyla,1
budge,21
re-open,11
flow-walk,3
zatt,1
presuppose,1
moisturise,1
swarm[vn],43
understate,1
phaser,1
side-step,1
de-activate,2
supervision[vn],829
complicate,29
hypothesize,48
african-americanize,1
equalise,1
lt,3
takan,1
underpin,1
harmonize[vn],1270
re-target,1
invest[vn],304
knick,1
lunatic,1
re-enter,40
support[vn],203
weekend[vn],4
maneuvre,1
stabilise,15
dax,4
throw[vn],1996
strive,6
kelno,2
grow[vn],588
talan,1
edit,2
focus[vn],1516
decommission,6
devilment,1
colonize,9
discorporate,1
devour[vn],366
cocoon,9
profile,3
thwart,28
re-envelop,1
texture-wrap,1
search[vn],1586
mete,2
mollusk,1
out,1
crash-land,13
reboot,12
future_having[vn],1388
re-calibrate,1
nanoprobe,1
venom,1
double-check,3
impart,6
postpone,25
entity_specific_modes_being[vn],40
bleep,1
embarrase,1
opress,1
feeding[vn],229
de-assimilate,1
implode,18
initialize,8
rematerialize,39
overtake,26
tranquilise,1
declare[vn],1216
route,20
headbutt,5
reweave,1
adopt[vn],692
stasis-lock,1
retain,50
facilitate,10
shoehorn,1
incarnate,1
overshoot,4
crane[vn],2116
regrow,3
de-amber,1
create[vn],1390
hire[vn],810
prank,1
condensate,1
re-initiate,3
unmove,1
phaser-stun,1
reseed,1
reposition,1
weyoun,1
stomach,1
apologise,100
feint,1
vouch,10
over-estimate,2
recieve,1
dead-end,1
spurn,6
subroutine,1
elope,3
back-door,1
pay[vn],350
embody,13
elongate,4
admire[vn],5820
re-write,2
refrozen,1
retreive,1
tidy,5
blip,1
skinny-dip,2
frostbitten,2
crank,1
peer[vn],2295
consider[vn],1578
re-live,2
vist,1
deploy,94
overexcit,1
promise[vn],807
re-develop,1
frustruate,1
retconn,3
instil,1
marshal,3
reignite,4
accept[vn],1345
transmatt,7
acclimatise,2
rendezvous,4
tranquillise,5
outlive,6
deface,2
recess,1
admit[vn],1549
incapacitate,83
accustom,11
restitch,1
chicken,3
redirect,25
ziost,1
outflank,5
hade,1
mothbal,2
re-evaluate,4
reminisce,38
hector,1
die[vn],2335
digitise,1
jag,2
inhabit,46
re-route,8
checkmate,1
rear[vn],17
penetrate,75
shy,4
test-fly,2
rappel,1
run[vn],6407
rein,2
extrricate,1
withstand,20
yrcano,1
spacewalk,1
puddle,1
jury-rig,2
portend,1
re-assert,1
door-side,1
liaise,1
unearth,11
failsafe,1
re-freeze,2
vorlon,1
reapply,3
dematerialise,46
broach,4
realign,13
unravel,15
legitimize,1
destine,20
torpedo,48
sabotage,129
email,1
pain[vn],85
indicate[vn],3289
joy,1
transpose,2
interfere,144
bemoan,17
key,3
homebrew,3
emitter,2
animalise,1
asunder,1
outrank,5
equal,9
zekk,1
careen,3
rame,1
long[vn],626
vent,57
ch,1
brook,2
immunize,2
subscribe,1
maximize,1
occur[vn],3376
quip,34
yar,1
entitle,17
misapply,1
pour[vn],125
curtail,3
head-fake,1
intruct,1
align,14
suspect[vn],694
reminiscence,1
compel[vn],1169
maul,7
sith,1
permeate,8
apoligise,1
surface,7
snuck,11
lorian,1
conserve,5
co-chair,1
frogmarch,1
gorge[vn],442
suffocate[vn],36
romance,1
terrorise,2
party,1
disorient,6
supercharge,1
slave,7
stimulate[vn],69
if/when,1
pockmark,1
ndnd,1
effect,14
outcast,1
differ[vn],33
launder,2
reconnoiter,2
retard,1
intercede,5
well,1
overwork,2
perpetrate,3
flinch[vn],49
help[vn],2957
re-board,1
outgrow,5
reintroduce,3
unarm,1
restructure,1
flesh,1
own[vn],13092
dose,6
evince,1
wink[vn],1397
conduct[vn],291
localize,8
re-send,1
fine-tune,1
reacquaint,3
refuel,15
reenact,1
practise,8
warrant,3
sonic,2
clear[vn],166
fate,1
miscalculate,1
trifle[vn],176
drive[vn],480
cobble,3
unbalance,3
redesign,1
sublimate,1
t-mat,2
attila,16
clown,1
caused_calibratable_cos[vn],143
reenergise,1
heed,22
uncuff,1
un-dampen,1
backlog,1
retransmit,1
propel,18
sequence,1
fumigate,2
punish/kill,1
vehicle[vn],10
home,2
peter,1
incant,2
jeremy,1
pinpoint,36
deprive[vn],80
reboard,1
concealment[vn],1027
cradle,6
snuggle,6
locate,335
de-cloak,7
schedule,52
slur,1
singin,1
pupate,1
belay,3
offset,1
re-introduce,2
touch[vn],294
evoke,7
epitomize,2
tongue,5
rob[vn],30
coloring[vn],8
re-appear,3
rebut,6
weather,3
outdate,2
doubtless,2
nuke,2
second-guess,2
reactivate,103
lennier,1
jump-start,2
backhand,1
re-destroy,1
unwrap,4
re-assess,1
modes_of_being_with_motion[vn],342
but,4
pit[vn],553
frell,4
body_internal_states[vn],35
outgun,5
vaporise,20
piece,15
apporach,1
destabilise,1
maroon,8
inn,1
lobotomise,1
immobilize,19
contest,1
demonize,1
cost[vn],314
philosophize,1
self-abort,1
er,1
floss[vn],3
shapeshift,2
foil,6
preform,1
stan,1
acquiese,1
complain[vn],383
bioform,1
loken,1
parole,2
